SideOfVFD,Product, Class, Size, Unit, Power, Frequency, Part Number, Notes, Notes2, Notes3
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 9.5, A, 24, , 12Z1F04-1010, 1.26 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 12, A, 31, , 13Z1F04-1010, 1.00 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 16.5, A, 37, , 14Z1F04-1010, 0.72 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 24, A, 47, , 15Z1F04-1010, 0.50 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 33, A, 54, , 16Z1F04-1010, 0.36 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 42, A, 65, , 17Z1F04-1010, 0.28 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 50, A, 65, , 18Z1F04-1010, 0.24 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 60, A, 67, , 19Z1F04-1010, 0.20 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 75, A, 79, , 20Z1F04-1010, 0.16 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 90, A, 105, , 21Z1F04-1010, 0.13 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 115, A, 137, , 22Z1F04-1010, 0.10 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 150, A, 170, , 23Z1F04-1010, 0.08 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 180, A, 210, , 24Z1F04-1010, 0.07 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 210, A, 270, , 25Z1F04-1010, 0.06 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 250, A, 380, , 26Z1F04-1010, 0.05 mH, ,
